tip_b,root_b,span_b,sweep_b,body_length_b,tip_s,root_s,span_s,sweep_s,body_length_s,body_diameter_bs,mach_number,power_on_bs,power_off_bs,power_on_s,power_off_s
9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,8.244853738,,,,
16.46887241,12.90307526,13.99708309,5.855487957,142.0114176,16.12967747,7.804150346,11.18618218,4.704392033,9.520793399,103.4669556,8.78739895,,,,
2.857404784,19.2216018,3.334361197,15.10459205,169.2936911,7.394449537,8.831819318,6.503541962,17.70055838,7.68564047,124.1074256,0.201683474,,,,
19.12117676,7.916659722,15.50737561,13.03608634,187.2389366,12.84140345,1.071255938,27.70030836,18.15676306,18.14151179,152.888574,7.449787482,,,,
11.37486457,7.810900908,6.998166514,0.038336528,153.7823985,10.23568631,9.070922577,22.76339695,8.005500458,19.92666056,88.42320193,2.803566964,,,,
15.56946412,8.202433536,15.27218935,9.822485207,180.8584049,7.325443787,5.875489624,10.4976248,8.983081923,14.24118677,63.39611634,1.247603967,,,,
11.10250854,15.08125677,18.56479707,14.17451454,116.3380282,11.17326444,5.256354696,27.75656305,15.58104842,8.602383532,146.4530378,7.438953246,,,,
6.117759813,5.380698392,5.82648554,12.31435953,190.7042254,10.21468456,16.06983915,10.12409367,8.742228519,7.917326444,125.9088257,2.700225019,,,,
11.92274356,29.88299025,4.045587132,1.168430703,173.1302609,12.4483707,16.20285024,13.76714726,6.51787649,3.178598217,70.87673973,7.146428869,,,,
10.84757063,9.16776398,11.17909826,9.534127844,177.9431619,3.317109759,6.610217518,4.219601633,15.32177681,2.660221685,72.56813068,8.269855821,,,,
19.08159013,12.53854488,17.82948579,9.384115343,59.72456038,10.92724394,10.01783482,3.978831569,18.94024502,0.82340195,99.14909576,2.02100175,,,,
5.764647054,13.14609551,16.35886324,7.81731811,199.243687,9.899658305,19.17343112,21.10950913,8.722393533,17.60813401,185.9050754,5.355446287,,,,
18.43711976,13.18884907,5.08975748,8.427368947,140.4712893,7.821985165,4.464622052,26.92849404,17.98533211,4.645387116,43.03066922,8.494874573,,,,
5.071089257,29.18993249,3.29327444,7.453954496,70.91799317,13.28094008,8.92524377,5.058921577,14.42636886,14.59954996,107.743562,4.070339195,,,,
10.16668056,11.69922494,17.37611468,8.684057005,170.9163264,17.13476123,13.52521043,27.83306942,16.85048754,4.815401283,186.6476373,7.83231936,,,,
3.033169431,4.284857071,5.494957913,16.48304025,91.55846321,2.948079007,9.750229186,24.57704809,14.42778565,5.317109759,143.8265689,9.840820068,,,,
16.05717143,8.951745979,14.99024919,8.145678807,100.6479707,18.94691224,11.1500125,5.418951579,9.112009334,12.34436203,198.5286274,8.664055338,,,,
10.8032336,9.010250854,18.08025669,6.078839903,91.21468456,6.825902159,4.250854238,29.62646887,16.99924994,14.01950163,120.5458788,2.26935578,,,,
2.067255605,25.57613134,6.193432786,0.51504292,99.54787899,13.22693558,16.64622052,11.51245937,9.616384699,13.33944495,153.7273939,6.658054838,,,,
13.59804984,11.65647137,14.92507709,10.58588216,171.0813401,11.97583132,1.608050671,28.72639387,9.469039087,7.378948246,124.616218,3.427785649,,,,
19.6991416,17.59021585,7.503958663,10.32586049,187.5002084,8.288524044,2.860571714,26.93749479,9.10492541,5.24543712,69.94166181,0.775064589,,,,
14.58929911,5.099424952,18.50954246,0.050004167,67.68647387,13.5164597,16.48312359,15.90032503,9.861488457,6.572214351,130.9829986,9.180765064,,,,
10.13976165,16.95341278,7.305608801,9.785815485,118.4832069,3.333611134,14.87432286,13.24060338,3.012751063,17.67980665,49.91999333,1.097591466,,,,
5.756729727,12.93907826,13.02233519,0.728394033,194.0870073,2.591049254,6.429702475,7.309109092,16.05850488,15.68630719,195.9571631,0.358363197,,,,
17.12442704,14.17668139,3.361280107,9.6708059,176.7055588,3.275106259,10.13342779,23.21118427,16.58129844,2.4552046,98.20026669,9.527460622,,,,
18.98658222,22.35611301,17.07575631,19.66163847,86.40178348,19.26343862,14.55446287,8.827985665,10.5259605,11.14092841,181.0921743,0.062505209,,,,
8.187348946,29.01441787,17.93574465,1.203433619,176.9668306,17.30427536,9.189682474,3.582798567,9.055337945,11.58429869,157.1101758,4.617884824,,,,
18.72689391,24.99333278,6.607133928,10.02750229,125.4962914,13.75647971,2.083090258,12.88057338,15.90265855,5.182098508,146.3705309,0.346695558,,,,
12.85223769,6.449537461,18.12134345,1.078423202,78.70114176,3.332111009,12.98683224,13.75814651,13.87382282,2.108509042,116.3380282,1.68264022,,,,
5.421035086,16.02183515,6.194849571,0.97008084,114.344112,10.07067256,9.427202267,21.53479457,5.306525544,12.72772731,90.95341278,4.90707559,,,,
10.70664222,8.924743729,9.697141428,7.030585882,112.556463,2.334527877,11.5332111,10.8216518,14.2096008,6.267188932,155.9275773,6.623051921,,,,
9.810400867,18.88632386,4.848904075,5.492124344,40.83048587,7.376448037,6.903158597,10.11059255,13.56638053,5.11375948,50.31877656,4.605383782,,,,
16.16484707,20.22518543,12.75597966,18.73989499,92.14976248,9.229102425,8.01791816,14.14292858,6.896158013,16.51470956,60.52212684,6.476373031,,,,
8.242770231,19.74139512,19.14001167,13.20776731,59.35327944,12.1423452,6.624468706,15.2747729,11.61830153,6.102175181,62.73606134,5.822985249,,,,
19.384032,16.41336778,6.901825152,5.088757396,101.0192516,9.638636553,1.571630969,9.741561797,16.44103675,10.66755563,66.72389366,8.248187349,,,,
16.85365447,9.705558797,14.33852821,1.846820568,47.08725727,3.605133761,6.07183932,19.02133511,18.25452121,1.486790566,64.93624469,9.570797566,,,,
19.04992083,27.22326861,12.64405367,10.28085674,186.0425869,12.04933744,12.13967831,10.70464205,6.390365864,10.80256688,115.004167,4.478706559,,,,
13.15942995,12.06150513,12.76589716,0.568380698,51.46012168,12.11084257,11.12467706,28.45637136,11.00200017,5.693807817,90.10084174,9.271605967,,,,
15.61063422,4.469372448,3.083590299,7.183931994,164.2057671,16.28869072,3.353029419,28.98066506,14.20393366,1.435119593,99.74039503,7.928994083,,,,
4.076673056,23.46095508,3.264938745,0.005000417,95.42253521,12.33586132,1.959579965,11.34144512,15.88565714,2.286857238,154.6074673,7.901491791,,,,
11.50470873,13.1663472,3.644637053,13.09942495,74.30077506,15.56863072,6.272939412,23.19993333,3.175681307,3.116926411,159.5853821,2.978581548,,,,
18.29619135,8.812234353,12.40886741,1.915159597,168.4411201,18.43836986,7.666388866,10.14209517,12.69789149,9.657471456,61.18218185,0.411700975,,,,
5.308609051,26.82273523,7.09875823,0.645053754,159.1590966,11.87532294,13.01850154,8.74247854,10.25818818,14.83790316,82.92274356,8.90407534,,,,
4.413951163,10.38736561,15.60513376,15.62296858,143.8815735,11.14476206,10.02575215,8.618718227,8.834319527,7.825652138,37.11767647,5.894657888,,,,
4.109925827,29.76148012,16.56288024,16.75306276,166.1171764,6.659388282,10.31710976,25.38486541,6.455537961,11.92766064,83.50029169,7.052254355,,,,
17.68022335,11.28069006,6.303941995,8.682390199,49.74122844,16.34869572,19.62471873,10.20285024,13.66980582,13.19276606,183.1410951,3.172764397,,,,
13.80073339,23.48570714,13.59471623,2.246853904,45.1208434,7.356946412,4.021251771,10.83065255,12.6228019,6.708892408,92.46603884,4.64372031,,,,
12.82690224,6.915326277,5.51195933,9.407450621,75.85465455,18.37986499,17.51554296,5.763230269,15.70147512,8.217351446,36.65013751,3.872822735,,,,
16.67313943,23.47670639,9.589465789,8.094007834,76.81723477,15.39911659,6.233352779,15.00925077,7.579048254,10.91924327,122.0172514,1.085923827,,,,
14.22351863,7.250604217,3.507208934,13.61946829,42.98941578,10.58821568,16.78239853,14.09117426,18.06325527,5.005417118,38.17651471,8.348195683,,,,
16.37386449,23.75572964,9.500208351,14.65955496,152.3247771,11.78981582,19.55346279,4.102591883,9.141761813,0.886740562,38.23151929,9.46995583,,,,
18.07608967,22.70489207,13.93474456,11.11592633,135.3421118,8.399533294,12.60680057,21.31427619,4.45503792,1.460121677,112.363947,9.573297775,,,,
11.32736061,6.555296275,5.503458622,19.7299775,165.6496375,8.312526044,9.648887407,29.495958,9.028419035,7.410617551,69.30910909,2.231852654,,,,
5.786815568,9.617801483,4.863071923,1.840153346,114.1103425,9.94016168,3.88032336,17.44170348,10.10234186,8.614051171,159.3241103,1.787648971,,,,
8.828652388,16.56188016,15.74822902,4.607050588,61.36094675,15.80565047,8.033752813,8.758229852,11.92574381,19.89665805,101.2942745,1.283440287,,,,
5.045753813,25.52212684,16.76264689,12.10934245,69.41911826,19.19293274,1.367363947,29.77723144,13.50687557,19.40995083,97.25143762,7.292274356,,,,
9.713809484,8.436453038,5.322110176,4.325360447,141.763897,17.85482124,1.304025335,20.95649637,13.66272189,8.124010334,152.696058,7.106425535,,,,
4.537461455,24.13151096,11.06717226,15.22126844,167.5060422,16.70572548,3.590549212,9.806817235,15.77656471,13.46278857,83.1152596,9.381615135,,,,
11.76439703,4.352362697,10.02300192,8.452371031,58.651971,19.35644637,3.774231186,23.46545545,18.59596633,15.96466372,112.6939745,3.311942662,,,,
18.2756063,29.88974081,10.79231603,7.050587549,43.01691808,19.23493624,19.98733228,8.854987916,5.016084674,9.267438953,107.7160597,0.044170348,,,,
7.644220352,6.996333028,4.241103425,12.61271773,170.9025752,7.628469039,12.53554463,22.00508376,14.09059088,7.480623385,167.7260605,7.556463039,,,,
6.092424369,23.15717976,17.01908492,18.51320943,77.91732644,6.527377281,19.05467122,7.491374281,3.731060922,12.43603634,169.8712393,5.560463372,,,,
7.101091758,19.25985499,15.59521627,11.65263772,121.5497125,3.938161513,1.373697808,23.71072589,4.79648304,8.975747979,179.1532628,0.462538545,,,,
15.49820818,19.81340112,12.96566381,7.510625885,80.07625635,17.37178098,1.161513459,29.85823819,19.14001167,19.78831569,178.5344612,4.059504959,,,,
9.425618802,15.25452121,14.62471873,10.94424535,136.579715,6.959413284,15.66288857,13.53312776,5.82648554,14.09950829,84.3116093,8.52404367,,,,
6.624468706,26.01491791,13.98433203,17.54812901,37.66772231,13.80898408,14.46895575,12.34727894,5.684807067,14.7895658,168.8674056,5.829652471,,,,
4.993499458,18.90207517,6.285523794,0.463371948,56.67180598,4.406200517,8.304525377,11.42020168,10.70730894,9.477456455,106.4509542,0.940911743,,,,
2.051420952,20.42770231,8.26052171,7.048920743,35.56379698,16.2151846,19.99366614,22.97716476,11.98666556,10.52587716,76.26718893,8.576548046,,,,
3.482873573,16.93541128,4.177348112,1.45512126,45.69839153,3.375614635,5.425785482,20.06767231,19.11167597,14.24618718,118.5244604,2.441870156,,,,
16.34852904,17.96374698,12.95149596,8.417368114,62.73606134,10.70822569,1.60488374,14.93499458,16.99783315,4.253687807,73.07692308,9.818318193,,,,
4.140011668,12.11100925,5.734394533,7.995666306,98.11775981,6.899408284,17.25427119,4.273606134,13.27027252,6.220518377,197.9510793,7.536461372,,,,
18.62713559,16.20185015,13.60321693,7.558963247,199.9174931,15.44112009,2.225602134,22.26385532,5.630969247,17.8431536,158.444037,9.943328611,,,,
16.44987082,28.28985749,15.95082924,4.570380865,62.62605217,4.575714643,11.31152596,28.5576298,8.505625469,16.70472539,103.7832319,9.912492708,,,,
2.836819735,16.42911909,14.59071589,12.78106509,160.795483,16.2631886,16.10625885,13.33286107,4.13484457,11.92099342,180.7896491,0.871739312,,,,
2.456788066,20.27468956,7.460038337,10.6892241,81.31385949,7.034419535,15.21318443,4.678639887,17.43986999,1.238436536,162.9406617,0.382531878,,,,
16.83623635,10.7136428,18.39053254,2.265188766,71.52304359,17.61480123,5.919826652,18.83906992,16.1123427,17.70314193,54.05908826,2.157679807,,,,
18.07292274,22.07033919,3.79056588,15.78298192,152.8335695,13.70397533,1.438619885,5.94324527,14.5992166,16.46303859,87.04808734,8.022335195,,,,
13.95432953,10.55387949,8.084840403,3.851987666,86.31927661,15.48912409,7.474789566,13.7783982,4.820568381,0.093341112,197.5247937,2.656888074,,,,
13.45078757,5.810484207,3.762230186,4.592049337,149.2032669,6.915909659,10.94574548,29.891991,12.38619885,19.26660555,96.6463872,9.425785482,,,,
3.706142179,20.61221768,10.22560213,9.689140762,152.4072839,2.036003,16.46728894,12.94807901,7.553546129,3.373614468,91.64097008,1.642636886,,,,
16.23451954,18.22701892,7.722143512,1.960163347,124.616218,6.776398033,6.690974248,26.06667222,7.111509292,12.49604134,102.8344029,8.253187766,,,,
6.163680307,21.26927244,6.148095675,14.34452871,147.7181432,7.836986416,9.686890574,27.92532711,16.2327694,4.777064755,170.9575798,9.745812151,,,,
3.728310693,23.23143595,15.43936995,5.26043837,148.6807234,10.91224269,7.261021752,7.140345029,19.42053504,10.91757646,52.58771564,3.059421618,,,,
4.437703142,12.14251188,9.497374781,0.876739728,93.05733811,12.5143762,17.24160347,22.57213101,8.431952663,17.50479207,192.4781232,9.17659805,,,,
13.93532794,25.6931411,17.86490541,2.106842237,58.39069922,17.44828736,7.541295108,28.61838487,7.690974248,14.48620718,85.34294525,5.906325527,,,,
16.22818568,5.180431703,12.71347612,18.45320443,125.0425035,8.911075923,8.405867156,23.1324277,7.698058172,0.7483957,104.7458122,6.400533378,,,,
13.81181765,27.93882824,18.51379282,11.68930744,136.1259272,17.02075173,1.96116343,23.16168014,19.64155346,9.614134511,62.37853154,9.941661805,,,,
